iter	Passed	Remaining
771	47406	14000
772	47464	13938
773	47526	13877
774	47586	13815
775	47647	13754
776	47708	13692
777	47768	13630
778	47829	13569
779	47888	13507
780	47950	13445
781	48011	13384
782	48069	13322
783	48128	13259
784	48189	13198
785	48248	13136
786	48308	13074
787	48367	13012
788	48430	12951
789	48490	12889
790	48557	12829
791	48621	12769
792	48692	12710
793	48756	12649
794	48819	12588
795	48881	12527
796	48943	12466
797	49003	12404
798	49066	12343
799	49125	12281
800	49189	12220
801	49246	12158
802	49308	12096
803	49373	12036
804	49433	11974
805	49495	11913
806	49555	11851
807	49615	11789
808	49674	11727
809	49731	11665
810	49792	11603
811	49855	11542
812	49914	11481
813	49976	11419
814	50037	11358
815	50097	11296
816	50157	11234
817	50216	11172
818	50276	11111
819	50339	11050
820	50402	10989
821	50460	10927
822	50522	10865
823	50582	10804
824	50643	10742
825	50702	10680
826	50764	10619
827	50824	10557
828	50886	10496
829	50952	10436
830	51024	10376
831	51088	10316
832	51155	10255
833	51223	10195
834	51298	10136
835	51359	10075
836	51423	10014
837	51485	9953
838	51544	9891
839	51605	9829
840	51665	9767
841	51726	9706
842	51790	9645
843	51849	9583
844	51912	9522
845	51978	9461
846	52040	9400
847	52100	9338
848	52161	9277
849	52218	9215
850	52275	9152
851	52334	9090
852	52393	9029
853	52452	8967
854	52514	8906
855	52574	8844
856	52634	8782
857	52693	8720
858	52754	8659
859	52817	8598
860	52876	8536
861	52938	8475
862	52997	8413
863	53059	8351
864	53121	8290
865	53182	8229
866	53239	8167
867	53303	8106
868	53363	8044
869	53424	7983
870	53491	7922
871	53554	7861
872	53618	7800
873	53682	7739
874	53744	7677
875	53804	7616
876	53869	7555
877	53931	7493
878	53991	7432
879	54057	7371
880	54117	7309
881	54179	7248
882	54241	7187
883	54300	7125
884	54362	7064
885	54426	7002
886	54485	6941
887	54545	6879
888	54606	6818
889	54668	6756
890	54728	6695
891	54791	6633
892	54852	6572
893	54913	6511
894	54973	6449
895	55034	6387
896	55092	6326
897	55152	6264
898	55215	6203
899	55275	6141
900	55334	6079
901	55389	6017
902	55450	5956
903	55507	5894
904	55569	5833
905	55638	5772
906	55699	5711
907	55764	5650
908	55830	5589
909	55890	5527
910	55955	5466
911	56017	5405
912	56080	5343
913	56139	5282
914	56196	5220
915	56255	5158
916	56318	5097
917	56377	5035
918	56435	4974
919	56496	4912
920	56556	4851
921	56617	4789
922	56678	4728
923	56738	4666
924	56800	4605
925	56863	4544
926	56920	4482
927	56981	4420
928	57043	4359
929	57106	4298
930	57167	4236
931	57226	4175
932	57286	4113
933	57345	4052
934	57405	3990
935	57464	3929
936	57526	3867
937	57586	3806
938	57646	3744
939	57707	3683
940	57766	3621
941	57827	3560
942	57885	3498
943	57946	3437
944	58008	3376
945	58070	3314
946	58132	3253
947	58192	3192
948	58254	3130
949	58326	3069
950	58385	3008
951	58448	2946
952	58508	2885
953	58569	2824
954	58630	2762
955	58688	2701
956	58750	2639
957	58811	2578
958	58870	2516
959	58931	2455
960	58991	2394
961	59055	2332
962	59119	2271
963	59187	2210
964	59250	2148
965	59321	2087
966	59384	2026
967	59445	1965
968	59503	1903
969	59562	1842
970	59622	1780
971	59685	1719
972	59743	1657
973	59805	1596
974	59866	1535
975	59927	1473
976	59987	1412
977	60047	1350
978	60109	1289
979	60169	1227
980	60230	1166
981	60288	1105
982	60351	1043
983	60414	982
984	60480	921
985	60547	859
986	60611	798
987	60674	736
988	60733	675
989	60795	614
990	60857	552
991	60916	491
992	60974	429
993	61036	368
994	61094	307
995	61154	245
996	61218	184
997	61283	122
998	61345	61
999	61407	0
